"Mod name","Registry name","Item ID","Display name","Exists"
"Blood Magic","bloodmagic:accelerationrune","bloodmagic:accelerationrune","Acceleration Rune","true"
"Blood Magic","bloodmagic:airritualstone","bloodmagic:airritualstone","Air Ritual Stone","true"
"Blood Magic","bloodmagic:alchemicalreactionchamber","bloodmagic:alchemicalreactionchamber","Alchemical Reaction Chamber","true"
"Blood Magic","bloodmagic:alchemyarray","","block.bloodmagic.alchemyarray","true"
"Blood Magic","bloodmagic:alchemytable","bloodmagic:alchemytable","Alchemy Table","true"
"Blood Magic","bloodmagic:altar","bloodmagic:altar","Blood Altar","true"
"Blood Magic","bloodmagic:altarcapacityrune","bloodmagic:altarcapacityrune","Rune of Capacity","true"
"Blood Magic","bloodmagic:bettercapacityrune","bloodmagic:bettercapacityrune","Rune of Augmented Capacity","true"
"Blood Magic","bloodmagic:blankrune","bloodmagic:blankrune","Blank Rune","true"
"Blood Magic","bloodmagic:bloodlight","","block.bloodmagic.bloodlight","true"
"Blood Magic","bloodmagic:bloodstonebrick","bloodmagic:bloodstonebrick","Bloodstone Brick","true"
"Blood Magic","bloodmagic:chargingrune","bloodmagic:chargingrune","Charging Rune","true"
"Blood Magic","bloodmagic:corrosivedemoncrystal","bloodmagic:corrosivedemoncrystal","Corrosive Crystal Cluster","true"
"Blood Magic","bloodmagic:creeping_doubt","bloodmagic:growing_doubt","block.bloodmagic.creeping_doubt","true"
"Blood Magic","bloodmagic:deforester_charge","bloodmagic:deforester_charge","Deforester Charge","true"
"Blood Magic","bloodmagic:demoncrucible","bloodmagic:demoncrucible","Demon Crucible","true"
"Blood Magic","bloodmagic:demoncrystallizer","bloodmagic:demoncrystallizer","Demon Crystallizer","true"
"Blood Magic","bloodmagic:destructivedemoncrystal","bloodmagic:destructivedemoncrystal","Destructive Crystal Cluster","true"
"Blood Magic","bloodmagic:dislocationrune","bloodmagic:dislocationrune","Displacement Rune","true"
"Blood Magic","bloodmagic:doubt_block","","block.bloodmagic.doubt_block","true"
"Blood Magic","bloodmagic:dungeon_brick1","bloodmagic:dungeon_brick1","Demon Bricks","true"
"Blood Magic","bloodmagic:dungeon_brick2","bloodmagic:dungeon_brick2","Offset Demon Bricks","true"
"Blood Magic","bloodmagic:dungeon_brick3","bloodmagic:dungeon_brick3","Long Demon Bricks","true"
"Blood Magic","bloodmagic:dungeon_brick_assorted","bloodmagic:dungeon_brick_assorted","Assorted Demon Bricks","true"
"Blood Magic","bloodmagic:dungeon_brick_gate","bloodmagic:dungeon_brick_gate","Demon Brick Gate","true"
"Blood Magic","bloodmagic:dungeon_brick_stairs","bloodmagic:dungeon_brick_stairs","Demon Brick Stairs","true"
"Blood Magic","bloodmagic:dungeon_brick_wall","bloodmagic:dungeon_brick_wall","Demon Brick Wall","true"
"Blood Magic","bloodmagic:dungeon_eye","bloodmagic:dungeon_eye","Demon Eye","true"
"Blood Magic","bloodmagic:dungeon_metal","bloodmagic:dungeon_metal","block.bloodmagic.dungeon_metal","true"
"Blood Magic","bloodmagic:dungeon_ore","bloodmagic:dungeon_ore","Demonite","true"
"Blood Magic","bloodmagic:dungeon_pillar_cap","bloodmagic:dungeon_pillar_cap","Demon Stone Pillar Cap","true"
"Blood Magic","bloodmagic:dungeon_pillar_center","bloodmagic:dungeon_pillar_center","Demon Stone Pillar","true"
