"Mod name","Registry name","Item ID","Display name"
"Ars Nouveau","ars_nouveau:ab_alternating",3711,"Arcane Brick: Alternative"
"Ars Nouveau","ars_nouveau:ab_basket",3712,"Arcane Brick: Basketweave"
"Ars Nouveau","ars_nouveau:ab_clover",3724,"Arcane Brick: Clover"
"Ars Nouveau","ars_nouveau:ab_herring",3713,"Arcane Brick: Herringbone"
"Ars Nouveau","ars_nouveau:ab_mosaic",3714,"Arcane Brick: Mosaic"
"Ars Nouveau","ars_nouveau:ab_smooth",3723,"Arcane Brick: Smooth"
"Ars Nouveau","ars_nouveau:ab_smooth_slab",3722,"Arcane Brick: Smooth Slab"
"Ars Nouveau","ars_nouveau:allow_scroll",3674,"Item Scroll: Allow"
"Ars Nouveau","ars_nouveau:amplify_arrow",3684,"Augment Arrow: Amplify"
"Ars Nouveau","ars_nouveau:amulet_of_mana_boost",3669,"Amulet of Mana Boost"
"Ars Nouveau","ars_nouveau:amulet_of_mana_regen",3670,"Amulet of Mana Regen"
"Ars Nouveau","ars_nouveau:apprentice_boots",3646,"Mage Boots"
"Ars Nouveau","ars_nouveau:apprentice_hood",3649,"Mage Hood"
"Ars Nouveau","ars_nouveau:apprentice_leggings",3647,"Mage Leggings"
"Ars Nouveau","ars_nouveau:apprentice_robes",3648,"Mage Robes"
"Ars Nouveau","ars_nouveau:apprentice_spell_book",3655,"Mage's Spell Book"
"Ars Nouveau","ars_nouveau:arcane_brick",3638,"Arcane Brick (DEPRECATED)"
"Ars Nouveau","ars_nouveau:arcane_bricks",3702,"Arcane Bricks"
"Ars Nouveau","ars_nouveau:arcane_core",3710,"Arcane Core"
"Ars Nouveau","ars_nouveau:arcane_ore",3697,"Arcane Ore"
"Ars Nouveau","ars_nouveau:arcane_pedestal",3700,"Arcane Pedestal"
"Ars Nouveau","ars_nouveau:arcane_relay",3705,"Mana Relay"
"Ars Nouveau","ars_nouveau:arcane_relay_splitter",3708,"Mana Splitter"
"Ars Nouveau","ars_nouveau:arcane_road",3704,"block.ars_nouveau.arcane_road"
"Ars Nouveau","ars_nouveau:arcane_stone",3715,"Arcane Stone"
"Ars Nouveau","ars_nouveau:archmage_boots",3650,"Archmage Boots"
"Ars Nouveau","ars_nouveau:archmage_hood",3653,"Archmage Hood"
"Ars Nouveau","ars_nouveau:archmage_leggings",3651,"Archmage Leggings"
"Ars Nouveau","ars_nouveau:archmage_robes",3652,"Archmage Robes"
"Ars Nouveau","ars_nouveau:archmage_spell_book",3656,"Archmage Spell Book"
"Ars Nouveau","ars_nouveau:archwood_button",3743,"block.ars_nouveau.archwood_button"
"Ars Nouveau","ars_nouveau:archwood_door",3750,"Archwood Door"
"Ars Nouveau","ars_nouveau:archwood_fence",3749,"Archwood Fence"
"Ars Nouveau","ars_nouveau:archwood_fence_gate",3746,"Archwood Fence Gate"
"Ars Nouveau","ars_nouveau:archwood_planks",3741,"Archwood Planks"
"Ars Nouveau","ars_nouveau:archwood_pressure_plate",3748,"Archwood Pressure Plate"
"Ars Nouveau","ars_nouveau:archwood_slab",3745,"Archwood Slab"
"Ars Nouveau","ars_nouveau:archwood_stairs",3744,"Archwood Stairs"
"Ars Nouveau","ars_nouveau:archwood_trapdoor",3747,"Archwood Trapdoor"
"Ars Nouveau","ars_nouveau:belt_of_levitation",3659,"Belt of Levitation"
"Ars Nouveau","ars_nouveau:belt_of_unstable_gifts",3640,"Belt of Unstable Gifts"
"Ars Nouveau","ars_nouveau:blank_glyph",3628,"Blank Glyph"
"Ars Nouveau","ars_nouveau:blank_parchment",3676,"Blank Parchment"
"Ars Nouveau","ars_nouveau:blaze_fiber",3633,"Blaze Fiber"
"Ars Nouveau","ars_nouveau:blue_archwood_leaves",3725,"Cascading Archwood Leaves"
"Ars Nouveau","ars_nouveau:blue_archwood_log",3726,"Cascading Archwood Log"
"Ars Nouveau","ars_nouveau:blue_archwood_sapling",3727,"Cascading Archwood Sapling"
"Ars Nouveau","ars_nouveau:blue_archwood_wood",3728,"Cascading Archwood Wood"
"Ars Nouveau","ars_nouveau:bucket_of_mana",3641,"Mana Bucket"
"Ars Nouveau","ars_nouveau:carbuncle_charm",3663,"Carbuncle Charm"
"Ars Nouveau","ars_nouveau:carbuncle_shards",3664,"Carbuncle Shards"
"Ars Nouveau","ars_nouveau:creative_mana_jar",3721,"Creative Mana Jar"
"Ars Nouveau","ars_nouveau:creative_spell_book",3657,"Creative Spell Book"
"Ars Nouveau","ars_nouveau:crystallizer",3709,"Crystallizer"
"Ars Nouveau","ars_nouveau:debug",3624,"item.ars_nouveau.debug"
"Ars Nouveau","ars_nouveau:deny_scroll",3675,"Item Scroll: Deny"
"Ars Nouveau","ars_nouveau:dominion_wand",3626,"Dominion Wand"
"Ars Nouveau","ars_nouveau:dull_trinket",3629,"Dull Trinket"
"Ars Nouveau","ars_nouveau:enchanting_apparatus",3699,"Enchanting Apparatus"
"Ars Nouveau","ars_nouveau:end_fiber",3634,"End Fiber"
"Ars Nouveau","ars_nouveau:glyph_accelerate",3575,"Glyph: Accelerate"
"Ars Nouveau","ars_nouveau:glyph_amplify",3596,"Glyph: Amplify"
"Ars Nouveau","ars_nouveau:glyph_aoe",3615,"Glyph: AOE"
"Ars Nouveau","ars_nouveau:glyph_aquatic",3618,"Glyph: Aquatic"
"Ars Nouveau","ars_nouveau:glyph_blink",3595,"Glyph: Blink"
"Ars Nouveau","ars_nouveau:glyph_break",3606,"Glyph: Break"
"Ars Nouveau","ars_nouveau:glyph_cold_snap",3565,"Glyph: Cold Snap"
"Ars Nouveau","ars_nouveau:glyph_conjure_water",3591,"Glyph: Conjure Water"
"Ars Nouveau","ars_nouveau:glyph_craft",3564,"Glyph: Craft"
"Ars Nouveau","ars_nouveau:glyph_crush",3571,"Glyph: Crush"
"Ars Nouveau","ars_nouveau:glyph_cut",3592,"Glyph: Cut"
"Ars Nouveau","ars_nouveau:glyph_dampen",3580,"Glyph: Dampen"
"Ars Nouveau","ars_nouveau:glyph_delay",3584,"Glyph: Delay"
"Ars Nouveau","ars_nouveau:glyph_dispel",3609,"Glyph: Dispel"
"Ars Nouveau","ars_nouveau:glyph_duration_down",3586,"Glyph: Duration Down"
"Ars Nouveau","ars_nouveau:glyph_ender_inventory",3611,"Glyph: Access Ender Inventory"
"Ars Nouveau","ars_nouveau:glyph_exchange",3587,"Glyph: Exchange"
"Ars Nouveau","ars_nouveau:glyph_explosion",3613,"Glyph: Explosion"
"Ars Nouveau","ars_nouveau:glyph_extend_time",3599,"Glyph: Extend Time"
"Ars Nouveau","ars_nouveau:glyph_extract",3583,"Glyph: Extract"
"Ars Nouveau","ars_nouveau:glyph_fangs",3614,"Glyph: Fangs"
"Ars Nouveau","ars_nouveau:glyph_fell",3598,"Glyph: Fell"
"Ars Nouveau","ars_nouveau:glyph_flare",3561,"Glyph: Flare"
"Ars Nouveau","ars_nouveau:glyph_fortune",3605,"Glyph: Fortune"
"Ars Nouveau","ars_nouveau:glyph_freeze",3569,"Glyph: Freeze"
"Ars Nouveau","ars_nouveau:glyph_gravity",3616,"Glyph: Gravity"
"Ars Nouveau","ars_nouveau:glyph_grow",3579,"Glyph: Grow"
"Ars Nouveau","ars_nouveau:glyph_gust",3621,"Glyph: Knockback"
"Ars Nouveau","ars_nouveau:glyph_harm",3593,"Glyph: Harm"
"Ars Nouveau","ars_nouveau:glyph_harvest",3604,"Glyph: Harvest"
"Ars Nouveau","ars_nouveau:glyph_haste",3610,"Glyph: Speed"
"Ars Nouveau","ars_nouveau:glyph_heal",3600,"Glyph: Heal"
"Ars Nouveau","ars_nouveau:glyph_hex",3576,"Glyph: Hex"
