----------------------------------------------
*** WARNING ***
Don't use the item ID for anything "proper"!!
It's provided here for completeness's sake, it's different in every world.
----------------------------------------------
Mod name, Registry name, Item ID, Display name
----------------------------------------------
Akashic Tome, akashictome:tome, 4025, Akashic Tome
Angel Block, angelblock:angel_block, 2352, Angel Block
Applied Energistics 2, appliedenergistics2:128_cubed_spatial_cell_component, 6794, 128³ Spatial Component
Applied Energistics 2, appliedenergistics2:128_cubed_spatial_storage_cell, 6887, 128³ Spatial Storage Cell
Applied Energistics 2, appliedenergistics2:16_cubed_spatial_cell_component, 6793, 16³ Spatial Component
Applied Energistics 2, appliedenergistics2:16_cubed_spatial_storage_cell, 6886, 16³ Spatial Storage Cell
Applied Energistics 2, appliedenergistics2:16k_cell_component, 6816, 16k ME Storage Component
Applied Energistics 2, appliedenergistics2:16k_crafting_storage, 6755, 16k Crafting Storage
Applied Energistics 2, appliedenergistics2:16k_fluid_cell_component, 6847, 16k ME Fluid Storage Component
Applied Energistics 2, appliedenergistics2:16k_fluid_storage_cell, 6883, 16k ME Fluid Storage Cell
Applied Energistics 2, appliedenergistics2:16k_portable_cell, 6869, 16k Portable Cell
Applied Energistics 2, appliedenergistics2:16k_storage_cell, 6879, 16k ME Storage Cell
Applied Energistics 2, appliedenergistics2:1k_cell_component, 6814, 1k ME Storage Component
Applied Energistics 2, appliedenergistics2:1k_crafting_storage, 6753, 1k Crafting Storage
Applied Energistics 2, appliedenergistics2:1k_fluid_cell_component, 6845, 1k ME Fluid Storage Component
Applied Energistics 2, appliedenergistics2:1k_fluid_storage_cell, 6881, 1k ME Fluid Storage Cell
Applied Energistics 2, appliedenergistics2:1k_storage_cell, 6877, 1k ME Storage Cell
Applied Energistics 2, appliedenergistics2:2_cubed_spatial_cell_component, 6792, 2³ Spatial Component
Applied Energistics 2, appliedenergistics2:2_cubed_spatial_storage_cell, 6885, 2³ Spatial Storage Cell
Applied Energistics 2, appliedenergistics2:4k_cell_component, 6815, 4k ME Storage Component
Applied Energistics 2, appliedenergistics2:4k_crafting_storage, 6754, 4k Crafting Storage
Applied Energistics 2, appliedenergistics2:4k_fluid_cell_component, 6846, 4k ME Fluid Storage Component
Applied Energistics 2, appliedenergistics2:4k_fluid_storage_cell, 6882, 4k ME Fluid Storage Cell
Applied Energistics 2, appliedenergistics2:4k_portable_cell, 6868, 4k Portable Cell
Applied Energistics 2, appliedenergistics2:4k_storage_cell, 6878, 4k ME Storage Cell
Applied Energistics 2, appliedenergistics2:64k_cell_component, 6817, 64k ME Storage Component
Applied Energistics 2, appliedenergistics2:64k_crafting_storage, 6756, 64k Crafting Storage
Applied Energistics 2, appliedenergistics2:64k_fluid_cell_component, 6848, 64k ME Fluid Storage Component
Applied Energistics 2, appliedenergistics2:64k_fluid_storage_cell, 6884, 64k ME Fluid Storage Cell
Applied Energistics 2, appliedenergistics2:64k_portable_cell, 6870, 64k Portable Cell
Applied Energistics 2, appliedenergistics2:64k_storage_cell, 6880, 64k ME Storage Cell
Applied Energistics 2, appliedenergistics2:advanced_card, 6810, Advanced Card
Applied Energistics 2, appliedenergistics2:annihilation_core, 6840, Annihilation Core
Applied Energistics 2, appliedenergistics2:annihilation_plane, 7031, ME Annihilation Plane
Applied Energistics 2, appliedenergistics2:basic_card, 6809, Basic Card
Applied Energistics 2, appliedenergistics2:biometric_card, 6872, Biometric Card
Applied Energistics 2, appliedenergistics2:black_covered_cable, 6963, Black ME Covered Cable
Applied Energistics 2, appliedenergistics2:black_covered_dense_cable, 6997, Black ME Dense Covered Cable
Applied Energistics 2, appliedenergistics2:black_glass_cable, 6980, Black ME Glass Cable
Applied Energistics 2, appliedenergistics2:black_lumen_paint_ball, 6924, Black Lumen Paint Ball
Applied Energistics 2, appliedenergistics2:black_paint_ball, 6908, Black Paint Ball
Applied Energistics 2, appliedenergistics2:black_smart_cable, 6946, Black ME Smart Cable
Applied Energistics 2, appliedenergistics2:black_smart_dense_cable, 7014, Black ME Dense Smart Cable
