"ID","Tagged objects"
"bloodmagic:altar_components/beacon","minecraft:beacon"
"bloodmagic:altar_components/bloodrune","bloodmagic:blankrune, bloodmagic:speedrune, bloodmagic:sacrificerune, bloodmagic:selfsacrificerune, bloodmagic:dislocationrune, bloodmagic:altarcapacityrune, bloodmagic:bettercapacityrune, bloodmagic:orbcapacityrune, bloodmagic:accelerationrune, bloodmagic:chargingrune"
"bloodmagic:altar_components/bloodstone","bloodmagic:largebloodstonebrick, bloodmagic:bloodstonebrick"
"bloodmagic:altar_components/glowstone","minecraft:glowstone, minecraft:sea_lantern"
"bloodmagic:ritual_stones/air_or_earth","bloodmagic:airritualstone, bloodmagic:earthritualstone"
"bloodmagic:ritual_stones/air_or_fire","bloodmagic:airritualstone, bloodmagic:fireritualstone"
"bloodmagic:ritual_stones/air_water_earth_fire","bloodmagic:airritualstone, bloodmagic:waterritualstone, bloodmagic:earthritualstone, bloodmagic:fireritualstone"
"bloodmagic:ritual_stones/earth_fire_air_water","bloodmagic:earthritualstone, bloodmagic:fireritualstone, bloodmagic:airritualstone, bloodmagic:waterritualstone"
"bloodmagic:ritual_stones/earth_or_air","bloodmagic:earthritualstone, bloodmagic:airritualstone"
"bloodmagic:ritual_stones/earth_or_water","bloodmagic:earthritualstone, bloodmagic:waterritualstone"
"bloodmagic:ritual_stones/fire_air_water_earth","bloodmagic:fireritualstone, bloodmagic:airritualstone, bloodmagic:waterritualstone, bloodmagic:earthritualstone"
"bloodmagic:ritual_stones/fire_or_air","bloodmagic:fireritualstone, bloodmagic:airritualstone"
"bloodmagic:ritual_stones/water_earth_fire_air","bloodmagic:waterritualstone, bloodmagic:earthritualstone, bloodmagic:fireritualstone, bloodmagic:airritualstone"
"bloodmagic:ritual_stones/water_or_earth","bloodmagic:waterritualstone, bloodmagic:earthritualstone"
"botania:corporea_spark_override","botania:corporea_block, botania:corporea_brick, botania:corporea_brick_slab, botania:corporea_brick_stairs, botania:corporea_brick_wall, botania:corporea_crystal_cube, botania:corporea_funnel, botania:corporea_index, botania:corporea_interceptor, botania:corporea_slab, botania:corporea_stairs"
"botania:double_mystical_flowers","botania:black_double_flower, botania:blue_double_flower, botania:brown_double_flower, botania:cyan_double_flower, botania:gray_double_flower, botania:green_double_flower, botania:light_blue_double_flower, botania:light_gray_double_flower, botania:lime_double_flower, botania:magenta_double_flower, botania:orange_double_flower, botania:pink_double_flower, botania:purple_double_flower, botania:red_double_flower, botania:white_double_flower, botania:yellow_double_flower"
"botania:enchanter_flowers","botania:black_mystical_flower, botania:blue_mystical_flower, botania:brown_mystical_flower, botania:cyan_mystical_flower, botania:gray_mystical_flower, botania:green_mystical_flower, botania:light_blue_mystical_flower, botania:light_gray_mystical_flower, botania:lime_mystical_flower, botania:magenta_mystical_flower, botania:orange_mystical_flower, botania:pink_mystical_flower, botania:purple_mystical_flower, botania:red_mystical_flower, botania:white_mystical_flower, botania:yellow_mystical_flower, botania:black_shiny_flower, botania:blue_shiny_flower, botania:brown_shiny_flower, botania:cyan_shiny_flower, botania:gray_shiny_flower, botania:green_shiny_flower, botania:light_blue_shiny_flower, botania:light_gray_shiny_flower, botania:lime_shiny_flower, botania:magenta_shiny_flower, botania:orange_shiny_flower, botania:pink_shiny_flower, botania:purple_shiny_flower, botania:red_shiny_flower, botania:white_shiny_flower, botania:yellow_shiny_flower, botania:black_floating_flower, botania:blue_floating_flower, botania:brown_floating_flower, botania:cyan_floating_flower, botania:gray_floating_flower, botania:green_floating_flower, botania:light_blue_floating_flower, botania:light_gray_floating_flower, botania:lime_floating_flower, botania:magenta_floating_flower, botania:orange_floating_flower, botania:pink_floating_flower, botania:purple_floating_flower, botania:red_floating_flower, botania:white_floating_flower, botania:yellow_floating_flower"
"botania:floating_flowers","botania:black_floating_flower, botania:blue_floating_flower, botania:brown_floating_flower, botania:cyan_floating_flower, botania:gray_floating_flower, botania:green_floating_flower, botania:light_blue_floating_flower, botania:light_gray_floating_flower, botania:lime_floating_flower, botania:magenta_floating_flower, botania:orange_floating_flower, botania:pink_floating_flower, botania:purple_floating_flower, botania:red_floating_flower, botania:white_floating_flower, botania:yellow_floating_flower, botania:floating_agricarnation, botania:floating_agricarnation_chibi, botania:floating_bellethorn, botania:floating_bellethorn_chibi, botania:floating_bergamute, botania:floating_bubbell, botania:floating_bubbell_chibi, botania:floating_clayconia, botania:floating_clayconia_chibi, botania:floating_daffomill, botania:floating_dandelifeon, botania:floating_dreadthorn, botania:floating_endoflame, botania:floating_entropinnyum, botania:floating_exoflame, botania:floating_fallen_kanade, botania:floating_gourmaryllis, botania:floating_heisei_dream, botania:floating_hopperhock, botania:floating_hopperhock_chibi, botania:floating_hyacidus, botania:floating_hydroangeas, botania:floating_jaded_amaranthus, botania:floating_jiyuulia, botania:floating_kekimurus, botania:floating_labellia, botania:floating_loonium, botania:floating_manastar, botania:floating_marimorphosis, botania:floating_marimorphosis_chibi, botania:floating_medumone, botania:floating_munchdew, botania:floating_narslimmus, botania:floating_orechid, botania:floating_orechid_ignem, botania:floating_pollidisiac, botania:floating_pure_daisy, botania:floating_rafflowsia, botania:floating_rannuncarpus, botania:floating_rannuncarpus_chibi, botania:floating_rosa_arcana, botania:floating_shulk_me_not, botania:floating_solegnolia, botania:floating_solegnolia_chibi, botania:floating_spectranthemum, botania:floating_spectrolus, botania:floating_tangleberrie, botania:floating_thermalily, botania:floating_tigerseye, botania:floating_vinculotus"
"botania:functional_special_flowers","excompressum:evolved_orechid, botania:agricarnation, botania:agricarnation_chibi, botania:bellethorn, botania:bellethorn_chibi, botania:bubbell, botania:bubbell_chibi, botania:clayconia, botania:clayconia_chibi, botania:daffomill, botania:dreadthorn, botania:exoflame, botania:fallen_kanade, botania:heisei_dream, botania:hopperhock, botania:hopperhock_chibi, botania:hyacidus, botania:jaded_amaranthus, botania:jiyuulia, botania:labellia, botania:loonium, botania:marimorphosis, botania:marimorphosis_chibi, botania:medumone, botania:orechid, botania:orechid_ignem, botania:pollidisiac, botania:rannuncarpus, botania:rannuncarpus_chibi, botania:solegnolia, botania:solegnolia_chibi, botania:spectranthemum, botania:tangleberrie, botania:tigerseye, botania:vinculotus"
"botania:gaia_break_blacklist","minecraft:beacon, botania:mana_pylon, botania:natura_pylon, botania:gaia_pylon"
"botania:generating_special_flowers","botania:dandelifeon, botania:endoflame, botania:entropinnyum, botania:gourmaryllis, botania:hydroangeas, botania:kekimurus, botania:munchdew, botania:narslimmus, botania:rafflowsia, botania:rosa_arcana, botania:shulk_me_not, botania:spectrolus, botania:thermalily"
"botania:livingrock","botania:livingrock"
"botania:livingwood","botania:livingwood"
"botania:magnet_ring_blacklist","botania:mana_pool, botania:creative_pool, botania:diluted_pool, botania:fabulous_pool, botania:terra_plate, botania:runic_altar"
